FEN,Outcome
8/5pp1/p6k/3K4/7p/7P/1P3PP1/2R5 b - - 0 1,0.5
8/5pp1/p7/3K2k1/7p/7P/1P3PP1/2R5 w - - 0 1,0.5
8/5pp1/p7/3K2k1/7p/7P/1P3PP1/7R b - - 0 1,0.5
8/5pp1/p4k2/3K4/7p/7P/1P3PP1/7R w - - 0 1,0.5
8/5pp1/p1K2k2/8/7p/7P/1P3PP1/7R b - - 0 1,0.5
8/5pp1/p1K5/5k2/7p/7P/1P3PP1/7R w - - 0 1,0.5
8/3K1pp1/p7/5k2/7p/7P/1P3PP1/7R b - - 0 1,0.5
8/3K1pp1/8/5k2/p6p/7P/1P3PP1/7R w - - 0 1,0.5
8/3K1pp1/8/5k2/p6p/7P/1P3PP1/5R2 b - - 0 1,0.5
8/3K1pp1/8/5k2/7p/p6P/1P3PP1/5R2 w - - 0 1,0.5
8/3K1pp1/8/5k2/7p/p4P1P/1P4P1/5R2 b - - 0 1,0.5
8/3K1pp1/8/5k2/7p/5P1P/1p4P1/5R2 w - - 0 1,0.5
8/3K1pp1/8/5k2/5P1p/7P/1p4P1/5R2 b - - 0 1,0.5
8/3K1pp1/8/5k2/5P1p/7P/6P1/1q3R2 w - - 0 1,0.5
8/3K1pp1/8/5k2/5P1p/7P/6P1/1R6 b - - 0 1,0.5
8/3K1pp1/8/8/5k1p/7P/6P1/1R6 w - - 0 1,0.5
8/3K1pp1/8/8/5k1p/7P/6P1/5R2 b - - 0 1,0.5
8/3K1pp1/8/8/4k2p/7P/6P1/5R2 w - - 0 1,0.5
8/3K1Rp1/8/8/4k2p/7P/6P1/8 b - - 0 1,0.5
8/3K1Rp1/8/4k3/7p/7P/6P1/8 w - - 0 1,0.5
8/3K2R1/8/4k3/7p/7P/6P1/8 b - - 0 1,0.5
8/3K2R1/5k2/8/7p/7P/6P1/8 w - - 0 1,0.5
8/3K4/5k2/8/7p/6RP/6P1/8 b - - 0 1,0.5
8/3K4/5k2/8/8/6pP/6P1/8 w - - 0 1,0.5
2K5/8/5k2/8/8/6pP/6P1/8 b - - 0 1,0.5
2K5/5k2/8/8/8/6pP/6P1/8 w - - 0 1,0.5
3K4/5k2/8/8/8/6pP/6P1/8 b - - 0 1,0.5
3K4/8/6k1/8/8/6pP/6P1/8 w - - 0 1,0.5
8/2K5/6k1/8/8/6pP/6P1/8 b - - 0 1,0.5
8/2K4k/8/8/8/6pP/6P1/8 w - - 0 1,0.5
8/7k/3K4/8/8/6pP/6P1/8 b - - 0 1,0.5
7k/8/3K4/8/8/6pP/6P1/8 w - - 0 1,0.5
7k/8/2K5/8/8/6pP/6P1/8 b - - 0 1,0.5
8/6k1/2K5/8/8/6pP/6P1/8 w - - 0 1,0.5
8/6k1/8/1K6/8/6pP/6P1/8 b - - 0 1,0.5
8/8/6k1/1K6/8/6pP/6P1/8 w - - 0 1,0.5
